Student_ID,Course,Watch_Time,Quiz_Score,Completion_%,Login_Frequency,Drop_Off,Performance Category,Engagement Level,Risk Category
S001,Cyber Security,10,65,41,1,Yes,Medium,High,Low Risk
S002,Cyber Security,10,40,76,2,No,Low,High,Low Risk
S003,Python Programming,3,84,44,1,Yes,High,Low,High Risk
S004,Machine Learning,14,34,58,12,No,Low,High,Low Risk
S005,Web Development,12,62,46,5,Yes,Medium,High,Low Risk
S006,Cyber Security,16,73,26,3,Yes,Medium,High,Low Risk
S007,Machine Learning,6,100,32,9,Yes,High,Medium,Medium Risk
S008,Web Development,10,33,90,11,No,Low,High,Low Risk
S009,Machine Learning,9,65,49,13,Yes,Medium,Medium,Low Risk
S010,Web Development,16,87,48,10,Yes,High,High,Low Risk
S011,Python Programming,10,34,86,10,No,Low,High,Low Risk
S012,Python Programming,10,88,23,1,Yes,High,High,Low Risk
S013,Machine Learning,14,66,67,8,No,Medium,High,Low Risk
S014,Data Science,2,31,24,12,Yes,Low,Low,High Risk
S015,Web Development,15,59,58,10,No,Medium,High,Low Risk
S016,Data Science,5,87,28,1,Yes,High,Medium,Medium Risk
S017,Cyber Security,6,46,45,3,Yes,Low,Medium,Medium Risk
S018,Web Development,4,94,71,1,No,High,Low,Low Risk
S019,Web Development,3,53,44,6,Yes,Medium,Low,High Risk
S020,Cyber Security,18,99,90,3,No,High,High,Low Risk
S021,Machine Learning,18,94,26,15,Yes,High,High,Low Risk
S022,Python Programming,15,32,63,12,No,Low,High,Low Risk
S023,Machine Learning,16,68,61,7,No,Medium,High,Low Risk
S024,Python Programming,18,83,27,1,Yes,High,High,Low Risk
S025,Web Development,5,53,20,9,Yes,Medium,Medium,Medium Risk
S026,Python Programming,5,69,25,3,Yes,Medium,Medium,Medium Risk
S027,Data Science,20,72,63,13,No,Medium,High,Low Risk
S028,Data Science,4,44,22,15,Yes,Low,Low,High Risk
S029,Python Programming,5,81,36,11,Yes,High,Medium,Medium Risk
S030,Data Science,19,83,43,6,Yes,High,High,Low Risk
S031,Machine Learning,10,79,96,9,No,High,High,Low Risk
S032,Python Programming,14,60,81,5,No,Medium,High,Low Risk
S033,Data Science,5,83,23,9,Yes,High,Medium,Medium Risk
S034,Data Science,12,44,85,7,No,Low,High,Low Risk
S035,Data Science,12,83,87,2,No,High,High,Low Risk
S036,Machine Learning,6,35,66,7,No,Low,Medium,Medium Risk
S037,Machine Learning,7,36,23,9,Yes,Low,Medium,Medium Risk
S038,Cyber Security,5,98,66,2,No,High,Medium,Medium Risk
S039,Machine Learning,9,79,57,9,No,High,Medium,Low Risk
S040,Data Science,9,33,47,5,Yes,Low,Medium,Low Risk
S041,Cyber Security,9,78,84,8,No,High,Medium,Low Risk
S042,Web Development,5,79,62,13,No,High,Medium,Medium Risk
S043,Data Science,10,32,22,2,Yes,Low,High,Low Risk
S044,Python Programming,9,55,94,4,No,Medium,Medium,Low Risk
S045,Data Science,8,89,53,4,No,High,Medium,Low Risk
S046,Data Science,20,80,40,9,Yes,High,High,Low Risk
S047,Machine Learning,9,54,99,15,No,Medium,Medium,Low Risk
S048,Machine Learning,13,51,74,3,No,Medium,High,Low Risk
S049,Web Development,3,84,34,9,Yes,High,Low,High Risk
S050,Cyber Security,1,65,49,11,Yes,Medium,Low,High Risk
